Dia de Data Escala de Tempo 1 CE Simp 4;Data Escala de Tempo 1 CE Simp 4;Período Exibido CE Simp 4;Subsistema;Selecione Tipo de CE Simp 4
1 de janeiro de 1999;01/01/1999 00:00:00;Dia;Sul;109,74888
2 de janeiro de 1999;02/01/1999 00:00:00;Dia;Sul;118,83792
3 de janeiro de 1999;03/01/1999 00:00:00;Dia;Sul;117,29904
4 de janeiro de 1999;04/01/1999 00:00:00;Dia;Sul;152,29632
5 de janeiro de 1999;05/01/1999 00:00:00;Dia;Sul;153,91848
6 de janeiro de 1999;06/01/1999 00:00:00;Dia;Sul;154,2096
7 de janeiro de 1999;07/01/1999 00:00:00;Dia;Sul;153,27456
8 de janeiro de 1999;08/01/1999 00:00:00;Dia;Sul;154,87152
9 de janeiro de 1999;09/01/1999 00:00:00;Dia;Sul;139,39584
10 de janeiro de 1999;10/01/1999 00:00:00;Dia;Sul;120,04896
11 de janeiro de 1999;11/01/1999 00:00:00;Dia;Sul;152,9556
12 de janeiro de 1999;12/01/1999 00:00:00;Dia;Sul;157,1472
13 de janeiro de 1999;13/01/1999 00:00:00;Dia;Sul;159,77088
14 de janeiro de 1999;14/01/1999 00:00:00;Dia;Sul;160,78416
15 de janeiro de 1999;15/01/1999 00:00:00;Dia;Sul;158,9568
16 de janeiro de 1999;16/01/1999 00:00:00;Dia;Sul;140,38248
17 de janeiro de 1999;17/01/1999 00:00:00;Dia;Sul;121,54224
18 de janeiro de 1999;18/01/1999 00:00:00;Dia;Sul;159,52944
19 de janeiro de 1999;19/01/1999 00:00:00;Dia;Sul;165,33936
20 de janeiro de 1999;20/01/1999 00:00:00;Dia;Sul;165,1332
21 de janeiro de 1999;21/01/1999 00:00:00;Dia;Sul;168,71544
22 de janeiro de 1999;22/01/1999 00:00:00;Dia;Sul;166,88064
23 de janeiro de 1999;23/01/1999 00:00:00;Dia;Sul;148,86528
24 de janeiro de 1999;24/01/1999 00:00:00;Dia;Sul;128,66016
25 de janeiro de 1999;25/01/1999 00:00:00;Dia;Sul;166,6536
26 de janeiro de 1999;26/01/1999 00:00:00;Dia;Sul;169,9992
27 de janeiro de 1999;27/01/1999 00:00:00;Dia;Sul;170,46984
28 de janeiro de 1999;28/01/1999 00:00:00;Dia;Sul;167,91384
29 de janeiro de 1999;29/01/1999 00:00:00;Dia;Sul;165,74424
30 de janeiro de 1999;30/01/1999 00:00:00;Dia;Sul;145,14336
31 de janeiro de 1999;31/01/1999 00:00:00;Dia;Sul;124,87632
1 de fevereiro de 1999;01/02/1999 00:00:00;Dia;Sul;159,93408
2 de fevereiro de 1999;02/02/1999 00:00:00;Dia;Sul;151,53696
3 de fevereiro de 1999;03/02/1999 00:00:00;Dia;Sul;158,96184
4 de fevereiro de 1999;04/02/1999 00:00:00;Dia;Sul;166,36512
5 de fevereiro de 1999;05/02/1999 00:00:00;Dia;Sul;167,3928
6 de fevereiro de 1999;06/02/1999 00:00:00;Dia;Sul;148,59936
7 de fevereiro de 1999;07/02/1999 00:00:00;Dia;Sul;127,15032
8 de fevereiro de 1999;08/02/1999 00:00:00;Dia;Sul;158,15616
9 de fevereiro de 1999;09/02/1999 00:00:00;Dia;Sul;160,27392
10 de fevereiro de 1999;10/02/1999 00:00:00;Dia;Sul;161,09016
11 de fevereiro de 1999;11/02/1999 00:00:00;Dia;Sul;163,66416
12 de fevereiro de 1999;12/02/1999 00:00:00;Dia;Sul;163,84104
13 de fevereiro de 1999;13/02/1999 00:00:00;Dia;Sul;142,85184
14 de fevereiro de 1999;14/02/1999 00:00:00;Dia;Sul;117,93024
15 de fevereiro de 1999;15/02/1999 00:00:00;Dia;Sul;141,09048
16 de fevereiro de 1999;16/02/1999 00:00:00;Dia;Sul;139,71672
17 de fevereiro de 1999;17/02/1999 00:00:00;Dia;Sul;156,61272
18 de fevereiro de 1999;18/02/1999 00:00:00;Dia;Sul;165,31464
19 de fevereiro de 1999;19/02/1999 00:00:00;Dia;Sul;155,77056
20 de fevereiro de 1999;20/02/1999 00:00:00;Dia;Sul;137,94576
21 de fevereiro de 1999;21/02/1999 00:00:00;Dia;Sul;117,19056
22 de fevereiro de 1999;22/02/1999 00:00:00;Dia;Sul;155,47248
23 de fevereiro de 1999;23/02/1999 00:00:00;Dia;Sul;163,42968
24 de fevereiro de 1999;24/02/1999 00:00:00;Dia;Sul;164,61312
25 de fevereiro de 1999;25/02/1999 00:00:00;Dia;Sul;164,43528
26 de fevereiro de 1999;26/02/1999 00:00:00;Dia;Sul;172,05216
27 de fevereiro de 1999;27/02/1999 00:00:00;Dia;Sul;149,27832
28 de fevereiro de 1999;28/02/1999 00:00:00;Dia;Sul;127,58112
1 de março de 1999;01/03/1999 00:00:00;Dia;Sul;169,30272
2 de março de 1999;02/03/1999 00:00:00;Dia;Sul;178,06296
3 de março de 1999;03/03/1999 00:00:00;Dia;Sul;179,8848
4 de março de 1999;04/03/1999 00:00:00;Dia;Sul;178,34136
5 de março de 1999;05/03/1999 00:00:00;Dia;Sul;175,758
6 de março de 1999;06/03/1999 00:00:00;Dia;Sul;155,29344
7 de março de 1999;07/03/1999 00:00:00;Dia;Sul;132,19368
8 de março de 1999;08/03/1999 00:00:00;Dia;Sul;171,1164
9 de março de 1999;09/03/1999 00:00:00;Dia;Sul;177,2172
10 de março de 1999;10/03/1999 00:00:00;Dia;Sul;176,6028
11 de março de 1999;11/03/1999 00:00:00;Dia;Sul;169,11312
12 de março de 1999;12/03/1999 00:00:00;Dia;Sul;165,714
13 de março de 1999;13/03/1999 00:00:00;Dia;Sul;144,53952
14 de março de 1999;14/03/1999 00:00:00;Dia;Sul;122,33592
15 de março de 1999;15/03/1999 00:00:00;Dia;Sul;163,42968
16 de março de 1999;16/03/1999 00:00:00;Dia;Sul;170,9328
17 de março de 1999;17/03/1999 00:00:00;Dia;Sul;173,23128
18 de março de 1999;18/03/1999 00:00:00;Dia;Sul;175,73952
19 de março de 1999;19/03/1999 00:00:00;Dia;Sul;175,9128
20 de março de 1999;20/03/1999 00:00:00;Dia;Sul;154,12464
21 de março de 1999;21/03/1999 00:00:00;Dia;Sul;128,57424
22 de março de 1999;22/03/1999 00:00:00;Dia;Sul;165,17232
23 de março de 1999;23/03/1999 00:00:00;Dia;Sul;170,80656
24 de março de 1999;24/03/1999 00:00:00;Dia;Sul;174,11016
25 de março de 1999;25/03/1999 00:00:00;Dia;Sul;177,69048
26 de março de 1999;26/03/1999 00:00:00;Dia;Sul;173,58768
27 de março de 1999;27/03/1999 00:00:00;Dia;Sul;153,61152
28 de março de 1999;28/03/1999 00:00:00;Dia;Sul;130,09128
29 de março de 1999;29/03/1999 00:00:00;Dia;Sul;165,51408
30 de março de 1999;30/03/1999 00:00:00;Dia;Sul;166,56096
31 de março de 1999;31/03/1999 00:00:00;Dia;Sul;164,50104
1 de abril de 1999;01/04/1999 00:00:00;Dia;Sul;161,1708
2 de abril de 1999;02/04/1999 00:00:00;Dia;Sul;121,2768
3 de abril de 1999;03/04/1999 00:00:00;Dia;Sul;131,78688
4 de abril de 1999;04/04/1999 00:00:00;Dia;Sul;120,80136
5 de abril de 1999;05/04/1999 00:00:00;Dia;Sul;162,87336
6 de abril de 1999;06/04/1999 00:00:00;Dia;Sul;167,53176
7 de abril de 1999;07/04/1999 00:00:00;Dia;Sul;165,52632
8 de abril de 1999;08/04/1999 00:00:00;Dia;Sul;162,46896
9 de abril de 1999;09/04/1999 00:00:00;Dia;Sul;161,268
10 de abril de 1999;10/04/1999 00:00:00;Dia;Sul;143,53464
11 de abril de 1999;11/04/1999 00:00:00;Dia;Sul;119,31432
12 de abril de 1999;12/04/1999 00:00:00;Dia;Sul;158,6328
13 de abril de 1999;13/04/1999 00:00:00;Dia;Sul;160,4268
14 de abril de 1999;14/04/1999 00:00:00;Dia;Sul;162,25776
15 de abril de 1999;15/04/1999 00:00:00;Dia;Sul;163,13688
16 de abril de 1999;16/04/1999 00:00:00;Dia;Sul;156,90912
17 de abril de 1999;17/04/1999 00:00:00;Dia;Sul;130,4304
18 de abril de 1999;18/04/1999 00:00:00;Dia;Sul;112,49232
19 de abril de 1999;19/04/1999 00:00:00;Dia;Sul;148,18752
20 de abril de 1999;20/04/1999 00:00:00;Dia;Sul;154,224
21 de abril de 1999;21/04/1999 00:00:00;Dia;Sul;133,74048
22 de abril de 1999;22/04/1999 00:00:00;Dia;Sul;158,17824
23 de abril de 1999;23/04/1999 00:00:00;Dia;Sul;160,75224
24 de abril de 1999;24/04/1999 00:00:00;Dia;Sul;142,8816
25 de abril de 1999;25/04/1999 00:00:00;Dia;Sul;118,55376
26 de abril de 1999;26/04/1999 00:00:00;Dia;Sul;154,68024
