Datetime,MWh
1994-01-01,14766.175
1994-02-01,13420.879
1994-03-01,14324.136
1994-04-01,12955.039
1994-05-01,10762.104
1994-06-01,10620.011
1994-07-01,10209.671
1994-08-01,9906.564
1994-09-01,11228.961
1994-10-01,10583.325
1994-11-01,11074.069
1994-12-01,13586.75
1995-01-01,15851.684
1995-02-01,15681.347
1995-03-01,15445.939
1995-04-01,13948.782
1995-05-01,11758.19
1995-06-01,11583.429
1995-07-01,11781.513
1995-08-01,11511.359
1995-09-01,11971.094
1995-10-01,12784.163
1995-11-01,12858.421
1995-12-01,14622.887
1996-01-01,16139.793
1996-02-01,17323.998
1996-03-01,16041.098
1996-04-01,15961.288
1996-05-01,13965.779
1996-06-01,12423.604
1996-07-01,12289.527
1996-08-01,12157.943
1996-09-01,12991.745
1996-10-01,12413.286
1996-11-01,13719.454
1996-12-01,15145.414
1997-01-01,19354.771
1997-02-01,19101.912
1997-03-01,17948.232
1997-04-01,17885.429
1997-05-01,14550.919
1997-06-01,14172.442
1997-07-01,13723.308
1997-08-01,13646.509
1997-09-01,15013.083
1997-10-01,14588.284
1997-11-01,14727.013
1997-12-01,17933.047
1998-01-01,19733.196
1998-02-01,20945.502
1998-03-01,20186.101
1998-04-01,17639.868
1998-05-01,16350.762
1998-06-01,15705.131
1998-07-01,14456.438
1998-08-01,15609.897
1998-09-01,15402.077
1998-10-01,15510.571
1998-11-01,16775.788
1998-12-01,18987.351
1999-01-01,20951.405
1999-02-01,21831.897
1999-03-01,24463.05
1999-04-01,19741.483
1999-05-01,17659.479
1999-06-01,16437.053
1999-07-01,15964.128
1999-08-01,16638.193
1999-09-01,17528.634
1999-10-01,16759.979
1999-11-01,17431.161
1999-12-01,20509.032
2000-01-01,23119.509
2000-02-01,24505.968
2000-03-01,24550.808
2000-04-01,21273.462
2000-05-01,19941.751
2000-06-01,18373.503
2000-07-01,17731.382
2000-08-01,17591.203
2000-09-01,16996.786
2000-10-01,19250.224
2000-11-01,20803.246
2000-12-01,22338.951
2001-01-01,25948.676
2001-02-01,26975.036
2001-03-01,28681.66
2001-04-01,25673.182
2001-05-01,21820.505
2001-06-01,18600.726
2001-07-01,17206.63
2001-08-01,17452.319
2001-09-01,17913.054
2001-10-01,17767.833
2001-11-01,20438.615
2001-12-01,21810.04
2002-01-01,24724.53
2002-02-01,27465.591
2002-03-01,24608.663
2002-04-01,26438.36
2002-05-01,22101.561
2002-06-01,20165.97
2002-07-01,19184.931
2002-08-01,18456.412
2002-09-01,18751.816
2002-10-01,21200.518
2002-11-01,21366.121
2002-12-01,23888.709
2003-01-01,27658.633
2003-02-01,30351.501
2003-03-01,29581.481
2003-04-01,23960.307
2003-05-01,22913.798
2003-06-01,20326.855
2003-07-01,19793.694
2003-08-01,19473.35
2003-09-01,19201.709
2003-10-01,20900.88
2003-11-01,20008.763
2003-12-01,24824.809
2004-01-01,28030.127
2004-02-01,29092.088
2004-03-01,28926.255
2004-04-01,25555.385
2004-05-01,23920.726
2004-06-01,20121.217
2004-07-01,20779.058
2004-08-01,20600.236
2004-09-01,20870.4
2004-10-01,21463.028
2004-11-01,23306.78
2004-12-01,25442.921
2005-01-01,29616.907
2005-02-01,29378.797
2005-03-01,29627.783
2005-04-01,29181.177
2005-05-01,25211.866
2005-06-01,23923.854
2005-07-01,23490.377
2005-08-01,22269.22
2005-09-01,22347.089
2005-10-01,22727.769
2005-11-01,24344.174
2005-12-01,28090.612
2006-01-01,31459.333
2006-02-01,33098.812
2006-03-01,33177.139
2006-04-01,30226.299
2006-05-01,23416.952
2006-06-01,23568.618
2006-07-01,23320.789
2006-08-01,23527.419
2006-09-01,23233.944
2006-10-01,23461.162
2006-11-01,25964.29
2006-12-01,28721.353
2007-01-01,34824.502
2007-02-01,34351.707
2007-03-01,35005.474
2007-04-01,34501.799999999996
2007-05-01,31652.958
2007-06-01,24857.323
2007-07-01,25465.57
2007-08-01,24356.603
2007-09-01,26063.059
2007-10-01,27119.27
2007-11-01,28800.756
2007-12-01,33480.223
2008-01-01,33365.033
2008-02-01,35954.385
2008-03-01,36737.193
2008-04-01,33564.176999999996
2008-05-01,29099.892
2008-06-01,26781.948
2008-07-01,26446.791
2008-08-01,28170.618
2008-09-01,27385.747
2008-10-01,27725.655
2008-11-01,30324.055
2008-12-01,30854.134
2009-01-01,36306.490999999995
2009-02-01,37936.023
2009-03-01,38753.062999999995
2009-04-01,37790.03
2009-05-01,31324.121
2009-06-01,28020.103
2009-07-01,26509.421
2009-08-01,26185.579
2009-09-01,26878.751
2009-10-01,27543.941
2009-11-01,32743.332
2009-12-01,37149.823
2010-01-01,40433.854
2010-02-01,38216.282
2010-03-01,41768.172
2010-04-01,36721.447
2010-05-01,30811.248
2010-06-01,28580.511
2010-07-01,27187.719999999998
2010-08-01,26924.405
2010-09-01,28969.159
2010-10-01,27455.773
2010-11-01,31601.775
2010-12-01,34361.767
2011-01-01,38818.994
2011-02-01,41159.310000000005
2011-03-01,38947.168
2011-04-01,36011.286
2011-05-01,36210.592000000004
2011-06-01,32058.086
2011-07-01,26642.5
2011-08-01,30739.525688
2011-09-01,33351.679
2011-10-01,30735.073
2011-11-01,34374.467
2011-12-01,37432.214
2012-01-01,42717.988000000005
2012-02-01,45356.185
2012-03-01,50103.013999999996
2012-04-01,42474.147
2012-05-01,38108.311
2012-06-01,34395.909
2012-07-01,32965.936
2012-08-01,36229.439
2012-09-01,31803.295303000003
2012-10-01,34943.804888
2012-11-01,38730.556377
2012-12-01,42964.132492
2013-01-01,47191.305357
2013-02-01,47531.663391999995
2013-03-01,43784.995211999994
2013-04-01,41813.427574
2013-05-01,37471.903601
2013-06-01,35128.608894
2013-07-01,34461.232358
2013-08-01,34186.84275
2013-09-01,32110.015164999997
2013-10-01,36412.903959999996
2013-11-01,39386.280780999994
2013-12-01,42656.610304
2014-01-01,51283.862617
2014-02-01,61304.24443
2014-03-01,42797.877967
2014-04-01,44856.877158
2014-05-01,40666.279463
2014-06-01,35721.099355
2014-07-01,34685.493895
2014-08-01,36076.768924
2014-09-01,35515.823074
2014-10-01,38630.812559
2014-11-01,44087.541652
2014-12-01,46293.862555
2015-01-01,51376.926947
2015-02-01,53182.319656
2015-03-01,47736.276162
2015-04-01,45754.44549
2015-05-01,38509.577057
2015-06-01,36393.724653
2015-07-01,33670.766641
2015-08-01,37130.098592
2015-09-01,35567.966438
2015-10-01,36366.866266
2015-11-01,37841.743803
2015-12-01,42156.642955
2016-01-01,49273.648851
2016-02-01,50067.173422
2016-03-01,48318.318785
2016-04-01,48374.956
2016-05-01,39979.295000000006
2016-06-01,33144.983023
2016-07-01,33115.22254
2016-08-01,32918.228292
2016-09-01,35159.365767999996
2016-10-01,35459.314558
2016-11-01,39282.322928
2016-12-01,41622.584045
2017-01-01,51189.93658299999
2017-02-01,53206.121829
2017-03-01,51872.58794000001
2017-04-01,43132.79435699999
2017-05-01,34950.027064999995
2017-06-01,36531.536761999996
2017-07-01,34669.189028
2017-08-01,35441.404221000004
2017-09-01,36393.756841
2017-10-01,37860.894367
2017-11-01,39897.585655999996
2017-12-01,43187.159505
2018-01-01,48802.14779
2018-02-01,49331.781611
2018-03-01,48086.491028999975
2018-04-01,46266.83637699999
2018-05-01,43755.088586000005
2018-06-01,37285.01968799999
2018-07-01,33871.26204200001
2018-08-01,33473.91228600001
2018-09-01,35626.683795000004
2018-10-01,38258.49468300001
2018-11-01,40455.34059800001
2018-12-01,45119.546878999994
2019-01-01,55672.63127000001
2019-02-01,56033.727219999986
2019-03-01,50246.54507399997
2019-04-01,47398.131911
2019-05-01,43521.536512
2019-06-01,38442.852353999995
2019-07-01,35898.077798000006
2019-08-01,36003.287160000014
2019-09-01,36130.579350000015
2019-10-01,39533.18004300001
2019-11-01,44148.40930900002
2019-12-01,47027.60276100002
2020-01-01,53366.09108399997
2020-02-01,54818.014883
2020-03-01,48701.51498
2020-04-01,37757.81107399999
2020-05-01,32132.596077
2020-06-01,31051.504288
2020-07-01,31066.876550999998
2020-08-01,30679.991658
2020-09-01,32219.331133
2020-10-01,35602.644941
2020-11-01,38155.714415
2020-12-01,44366.935088
2021-01-01,46557.614725
2021-02-01,47784.294978
2021-03-01,48582.781233
2021-04-01,45015.390633
2021-05-01,38344.937501
2021-06-01,35251.337134
2021-07-01,35285.23939
2021-08-01,35361.06567
2021-09-01,36458.082395
2021-10-01,37730.571971000005
2021-11-01,39962.65822500001
2021-12-01,45950.726825000005
2022-01-01,52378.65127
2022-02-01,54194.274835
2022-03-01,54530.258329
2022-04-01,47820.777706999994
2022-05-01,41944.976901
2022-06-01,37886.855337
2022-07-01,38236.300856
2022-08-01,38969.017239
2022-09-01,37268.579756
