Datetime,MWh
1994-01-01,2513.127
1994-02-01,2568.735
1994-03-01,3028.517
1994-04-01,2626.243
1994-05-01,2624.639
1994-06-01,2647.882
1994-07-01,2659.551
1994-08-01,2670.446
1994-09-01,2670.446
1994-10-01,2783.26
1994-11-01,2762.342
1994-12-01,2762.342
1995-01-01,2759.251
1995-02-01,2846.98
1995-03-01,2786.239
1995-04-01,2797.227
1995-05-01,2840.63
1995-06-01,2864.082
1995-07-01,2957.603
1995-08-01,2930.504
1995-09-01,2964.705
1995-10-01,2963.43
1995-11-01,3019.259
1995-12-01,3019.259
1996-01-01,3085.045
1996-02-01,3063.788
1996-03-01,3168.386
1996-04-01,3160.748
1996-05-01,3377.941
1996-06-01,3315.56
1996-07-01,3378.053
1996-08-01,3377.463
1996-09-01,3377.463
1996-10-01,3377.463
1996-11-01,3662.771
1996-12-01,3662.771
1997-01-01,3468.752
1997-02-01,4749.399
1997-03-01,3650.338
1997-04-01,3754.252
1997-05-01,3764.496
1997-06-01,3763.951
1997-07-01,3968.81
1997-08-01,3996.011
1997-09-01,4211.137
1997-10-01,4221.317
1997-11-01,4221.317
1997-12-01,4221.317
1998-01-01,4580.051
1998-02-01,4440.101
1998-03-01,4585.708
1998-04-01,4807.646
1998-05-01,4808.216
1998-06-01,3934.115
1998-07-01,3938.288
1998-08-01,3950.637
1998-09-01,4209.33
1998-10-01,3993.677
1998-11-01,3993.677
1998-12-01,3990.368
1999-01-01,3990.368
1999-02-01,4054.97
1999-03-01,4146.331
1999-04-01,4154.023
1999-05-01,4156.119
1999-06-01,4157.58
1999-07-01,4159.97
1999-08-01,4172.656
1999-09-01,4183.541
1999-10-01,4186.133
1999-11-01,4197.668
1999-12-01,4224.398
2000-01-01,4224.398
2000-02-01,4232.091
2000-03-01,4266.31
2000-04-01,4290.403
2000-05-01,4422.048
2000-06-01,4422.048
2000-07-01,4451.436
2000-08-01,4463.049
2000-09-01,4463.049
2000-10-01,3953.049
2000-11-01,3953.049
2000-12-01,3953.049
2001-01-01,3953.049
2001-02-01,3953.049
2001-03-01,3953.049
2001-04-01,3953.049
2001-05-01,3953.049
2001-06-01,3953.049
2001-07-01,3614.451
2001-08-01,3403.297
2001-09-01,3403.297
2001-10-01,3403.297
2001-11-01,3638.841
2001-12-01,3638.841
2002-01-01,3638.841
2002-02-01,3640.801
2002-03-01,3640.801
2002-04-01,3426.107
2002-05-01,3480.228
2002-06-01,3489.0
2002-07-01,3491.989
2002-08-01,3491.989
2002-09-01,3512.887
2002-10-01,3499.514
2002-11-01,3499.514
2002-12-01,3504.099
2003-01-01,3511.995
2003-02-01,3547.235
2003-03-01,3547.235
2003-04-01,3547.235
2003-05-01,3583.08
2003-06-01,3583.08
2003-07-01,3604.872
2003-08-01,3604.872
2003-09-01,3604.872
2003-10-01,3618.623
2003-11-01,3495.607
2003-12-01,3495.607
2004-01-01,3651.74
2004-02-01,3651.74
2004-03-01,3651.74
2004-04-01,3651.74
2004-05-01,3651.74
2004-06-01,3271.259
2004-07-01,3271.259
2004-08-01,3271.259
2004-09-01,3053.448
2004-10-01,3053.448
2004-11-01,3055.3
2004-12-01,3055.3
2005-01-01,3055.3
2005-02-01,3055.3
2005-03-01,3055.3
2005-04-01,3055.3
2005-05-01,3055.3
2005-06-01,3055.3
2005-07-01,3055.3
2005-08-01,3055.3
2005-09-01,3055.3
2005-10-01,3055.3
2005-11-01,3078.34
2005-12-01,3078.34
2006-01-01,3078.34
2006-02-01,3080.994
2006-03-01,3080.994
2006-04-01,3080.994
2006-05-01,3019.807
2006-06-01,3031.641
2006-07-01,3031.641
2006-08-01,3031.641
2006-09-01,3055.407
2006-10-01,3059.794
2006-11-01,3060.293
2006-12-01,3061.794
2007-01-01,2443.456
2007-02-01,2443.456
2007-03-01,2443.456
2007-04-01,2596.106
2007-05-01,2596.106
2007-06-01,2596.106
2007-07-01,2596.106
2007-08-01,2596.106
2007-09-01,2596.106
2007-10-01,2596.106
2007-11-01,2596.106
2007-12-01,2596.106
2008-01-01,2596.106
2008-02-01,2596.106
2008-03-01,2596.106
2008-04-01,2596.106
2008-05-01,2596.106
2008-06-01,2596.106
2008-07-01,2596.106
2008-08-01,2544.925
2008-09-01,2544.925
2008-10-01,2544.925
2008-11-01,2574.966
2008-12-01,2572.23
2009-01-01,2578.673
2009-02-01,2578.673
2009-03-01,2578.673
2009-04-01,2733.609
2009-05-01,2588.905
2009-06-01,2578.748
2009-07-01,2398.964
2009-08-01,2444.975
2009-09-01,2436.332
2009-10-01,2455.379
2009-11-01,2458.796
2009-12-01,2466.009
2010-01-01,2472.458
2010-02-01,2479.447
2010-03-01,2488.504
2010-04-01,2531.805
2010-05-01,2531.805
2010-06-01,2511.705
2010-07-01,2517.543
2010-08-01,2518.245
2010-09-01,2526.483
2010-10-01,2526.483
2010-11-01,2526.483
2010-12-01,2526.483
2011-01-01,2526.483
2011-02-01,2800.902
2011-03-01,2552.567
2011-04-01,2750.196
2011-05-01,2750.196
2011-06-01,2661.48
2011-07-01,2661.48
2011-08-01,2838.912
2011-09-01,2661.479
2011-10-01,2838.911
2011-11-01,2572.763
2011-12-01,2720.649
2012-01-01,3078.9
2012-02-01,2890.478
2012-03-01,2899.141
2012-04-01,3013.375
2012-05-01,3021.409
2012-06-01,2835.582
2012-07-01,3136.718
2012-08-01,2946.154
2012-09-01,3309.214
2012-10-01,2956.216
2012-11-01,3032.786
2012-12-01,3174.286
2013-01-01,3022.922
2013-02-01,3128.587
2013-03-01,3102.558
2013-04-01,2902.416
2013-05-01,3036.205
2013-06-01,3206.561
2013-07-01,3005.642
2013-08-01,3016.148
2013-09-01,3113.559
2013-10-01,3022.841
2013-11-01,3006.839
2013-12-01,3114.497
2014-01-01,3121.331
2014-02-01,3231.749
2014-03-01,2937.245
2014-04-01,2937.93
2014-05-01,3140.299
2014-06-01,3221.73
2014-07-01,2962.491
2014-08-01,3175.801
2014-09-01,3174.881
2014-10-01,3070.846
2014-11-01,3374.166
2014-12-01,2967.253
2015-01-01,3482.213
2015-02-01,3124.182
2015-03-01,2889.211
2015-04-01,3085.64
2015-05-01,3389.489
2015-06-01,2943.901
2015-07-01,3110.219
2015-08-01,3399.579
2015-09-01,2991.514
2015-10-01,3103.302
2015-11-01,3468.818
2015-12-01,3003.863
2016-01-01,3430.074
2016-02-01,2914.25
2016-03-01,3013.711
2016-04-01,3257.868
2016-05-01,3305.619
2016-06-01,3149.498
2016-07-01,3199.22
2016-08-01,3273.629
2016-09-01,3343.295
2016-10-01,3399.509
2016-11-01,3098.192
2016-12-01,3195.483
2017-01-01,3472.004
2017-02-01,3234.87
2017-03-01,3234.87
2017-04-01,3342.729
2017-05-01,3127.071
2017-06-01,3240.406
2017-07-01,3452.433
2017-08-01,3253.509
2017-09-01,3173.856
2017-10-01,3292.824
2017-11-01,3199.558
2017-12-01,3186.604
2018-01-01,3406.94
2018-02-01,3370.414
2018-03-01,3292.82438
2018-04-01,3080.3841
2018-05-01,3186.60424
2018-06-01,3456.92134
2018-07-01,3080.49697
2018-08-01,3080.49697
2018-09-01,3399.16907
2018-10-01,3186.7210099999998
2018-11-01,3080.49697
2018-12-01,3399.16907
2019-01-01,3292.94504
2019-02-01,3080.49697
2019-03-01,3292.94504
2019-04-01,3186.7210099999998
2019-05-01,3246.9999900000003
2019-06-01,3374.1906200000003
2019-07-01,3156.50091
2019-08-01,3276.52581
2019-09-01,3460.2305899999997
2019-10-01,3390.59218
2019-11-01,3243.9661800000003
2019-12-01,3460.2305899999997
2020-01-01,3460.2305899999997
2020-02-01,3460.2305899999997
2020-03-01,3012.501
2020-04-01,3012.63
2020-05-01,3500.521
2020-06-01,3030.67
2020-07-01,3397.475
2020-08-01,3246.807
2020-09-01,3137.978
2020-10-01,3137.978
2020-11-01,3360.109
2020-12-01,3149.244
2021-01-01,3348.591
2021-02-01,2933.037
2021-03-01,3089.328
2021-04-01,3057.086
2021-05-01,3374.065
2021-06-01,3080.46
2021-07-01,3142.002
2021-08-01,3366.118
2021-09-01,3048.511
2021-10-01,3154.071
2021-11-01,3275.119
2021-12-01,3182.786
2022-01-01,3307.835
2022-02-01,3331.57
2022-03-01,3015.393
2022-04-01,3355.822
2022-05-01,3237.2
2022-06-01,3452.284
2022-07-01,3281.907
2022-08-01,3605.189
2022-09-01,3525.253
