Datetime,MWh
1994-01-01,419.64
1994-02-01,404.616
1994-03-01,453.703
1994-04-01,362.545
1994-05-01,390.938
1994-06-01,318.439
1994-07-01,333.54
1994-08-01,330.582
1994-09-01,367.67
1994-10-01,403.894
1994-11-01,435.157
1994-12-01,474.995
1995-01-01,466.517
1995-02-01,462.242
1995-03-01,472.309
1995-04-01,413.928
1995-05-01,368.519
1995-06-01,356.807
1995-07-01,326.401
1995-08-01,349.604
1995-09-01,357.416
1995-10-01,368.13
1995-11-01,415.457
1995-12-01,464.73
1996-01-01,484.302
1996-02-01,506.413
1996-03-01,454.766
1996-04-01,437.486
1996-05-01,419.523
1996-06-01,315.285
1996-07-01,336.042
1996-08-01,358.545
1996-09-01,362.752
1996-10-01,314.276
1996-11-01,416.386
1996-12-01,421.825
1997-01-01,500.005
1997-02-01,476.856
1997-03-01,467.672
1997-04-01,426.279
1997-05-01,338.356
1997-06-01,313.059
1997-07-01,341.06
1997-08-01,335.578
1997-09-01,361.372
1997-10-01,370.111
1997-11-01,385.9
1997-12-01,443.536
1998-01-01,433.717
1998-02-01,488.753
1998-03-01,483.822
1998-04-01,420.829
1998-05-01,376.2
1998-06-01,346.966
1998-07-01,340.898
1998-08-01,342.774
1998-09-01,345.676
1998-10-01,343.687
1998-11-01,388.895
1998-12-01,469.632
1999-01-01,524.584
1999-02-01,505.515
1999-03-01,583.155
1999-04-01,410.495
1999-05-01,388.195
1999-06-01,365.74
1999-07-01,335.912
1999-08-01,344.374
1999-09-01,376.33
1999-10-01,350.237
1999-11-01,355.568
1999-12-01,450.773
2000-01-01,504.963
2000-02-01,485.529
2000-03-01,487.012
2000-04-01,430.56
2000-05-01,387.744
2000-06-01,371.462
2000-07-01,347.463
2000-08-01,330.271
2000-09-01,335.196
2000-10-01,373.474
2000-11-01,438.483
2000-12-01,457.563
2001-01-01,509.256
2001-02-01,503.127
2001-03-01,562.599
2001-04-01,522.993
2001-05-01,382.308
2001-06-01,285.895
2001-07-01,288.219
2001-08-01,284.103
2001-09-01,273.076
2001-10-01,270.082
2001-11-01,351.459
2001-12-01,385.725
2002-01-01,425.362
2002-02-01,453.7
2002-03-01,497.187
2002-04-01,472.306
2002-05-01,399.144
2002-06-01,343.338
2002-07-01,313.562
2002-08-01,295.564
2002-09-01,286.82
2002-10-01,378.197
2002-11-01,358.198
2002-12-01,414.971
2003-01-01,457.34
2003-02-01,532.08
2003-03-01,508.662
2003-04-01,396.108
2003-05-01,380.49
2003-06-01,346.252
2003-07-01,332.34
2003-08-01,310.471
2003-09-01,317.426
2003-10-01,391.775
2003-11-01,343.636
2003-12-01,433.478
2004-01-01,431.258
2004-02-01,523.364
2004-03-01,493.035
2004-04-01,455.675
2004-05-01,381.939
2004-06-01,319.061
2004-07-01,338.885
2004-08-01,343.918
2004-09-01,333.929
2004-10-01,339.163
2004-11-01,374.006
2004-12-01,438.759
2005-01-01,469.134
2005-02-01,456.252
2005-03-01,527.97
2005-04-01,470.854
2005-05-01,403.97
2005-06-01,405.586
2005-07-01,371.037
2005-08-01,366.818
2005-09-01,343.178
2005-10-01,374.98
2005-11-01,393.765
2005-12-01,469.97
2006-01-01,507.37
2006-02-01,519.939
2006-03-01,527.723
2006-04-01,463.62
2006-05-01,362.698
2006-06-01,369.975
2006-07-01,369.686
2006-08-01,355.864
2006-09-01,339.958
2006-10-01,385.474
2006-11-01,428.883
2006-12-01,523.353
2007-01-01,537.216
2007-02-01,541.819
2007-03-01,590.459
2007-04-01,551.849
2007-05-01,553.259
2007-06-01,1649.151
2007-07-01,806.499
2007-08-01,-1261.236
2007-09-01,416.209
2007-10-01,435.835
2007-11-01,457.682
2007-12-01,500.86
2008-01-01,530.129
2008-02-01,517.784
2008-03-01,613.706
2008-04-01,474.206
2008-05-01,413.631
2008-06-01,395.606
2008-07-01,540.471
2008-08-01,428.246
2008-09-01,376.985
2008-10-01,420.548
2008-11-01,458.854
2008-12-01,469.469
2009-01-01,483.772
2009-02-01,602.807
2009-03-01,556.697
2009-04-01,521.144
2009-05-01,450.033
2009-06-01,378.633
2009-07-01,353.124
2009-08-01,338.961
2009-09-01,372.233
2009-10-01,395.72
2009-11-01,449.681
2009-12-01,531.372
2010-01-01,553.033
2010-02-01,523.849
2010-03-01,526.777
2010-04-01,469.792
2010-05-01,409.09
2010-06-01,384.835
2010-07-01,351.255
2010-08-01,335.196
2010-09-01,381.667
2010-10-01,361.293
2010-11-01,430.817
2010-12-01,519.881
2011-01-01,495.524
2011-02-01,575.36
2011-03-01,482.844
2011-04-01,461.118
2011-05-01,418.952
2011-06-01,409.624
2011-07-01,403.609
2011-08-01,353.634
2011-09-01,357.255
2011-10-01,407.096
2011-11-01,410.943
2011-12-01,504.475
2012-01-01,479.585
2012-02-01,534.043
2012-03-01,567.453
2012-04-01,481.152
2012-05-01,409.265
2012-06-01,368.645
2012-07-01,366.196
2012-08-01,368.441
2012-09-01,404.71
2012-10-01,383.311
2012-11-01,478.395
2012-12-01,529.904
2013-01-01,533.227
2013-02-01,483.984
2013-03-01,520.185
2013-04-01,446.203
2013-05-01,450.299
2013-06-01,388.571
2013-07-01,349.141
2013-08-01,344.669
2013-09-01,349.149
2013-10-01,392.795
2013-11-01,398.794
2013-12-01,467.275
2014-01-01,514.363
2014-02-01,610.492
2014-03-01,503.208
2014-04-01,468.928
2014-05-01,419.256
2014-06-01,343.373
2014-07-01,364.083
2014-08-01,343.189
2014-09-01,376.058
2014-10-01,421.887
2014-11-01,437.061
2014-12-01,435.527
2015-01-01,446.478
2015-02-01,992.838
2015-03-01,111.918
2015-04-01,436.64
2015-05-01,372.74
2015-06-01,385.18
2015-07-01,334.498
2015-08-01,421.852
2015-09-01,372.558
2015-10-01,385.22
2015-11-01,439.096
2015-12-01,472.237
2016-01-01,497.14
2016-02-01,527.246
2016-03-01,493.46
2016-04-01,516.836
2016-05-01,390.512
2016-06-01,322.3
2016-07-01,308.288
2016-08-01,313.064
2016-09-01,332.938
2016-10-01,350.728
2016-11-01,784.878
2016-12-01,426.586
2017-01-01,547.614
2017-02-01,536.436
2017-03-01,473.658
2017-04-01,446.074
2017-05-01,211.933
2017-06-01,385.316
2017-07-01,321.379
2017-08-01,348.079
2017-09-01,363.512
2017-10-01,386.171
2017-11-01,369.575
2017-12-01,405.667
2018-01-01,445.341
