Datetime,MWh
1994-01-01,6393.112
1994-02-01,4903.65
1994-03-01,4499.429
1994-04-01,5233.793
1994-05-01,4214.206
1994-06-01,4632.583
1994-07-01,3856.017
1994-08-01,4024.602
1994-09-01,5044.499
1994-10-01,3648.993
1994-11-01,4102.462
1994-12-01,2274.498
1995-01-01,5607.857
1995-02-01,6171.379
1995-03-01,5862.683
1995-04-01,4712.622
1995-05-01,4210.036
1995-06-01,4427.593
1995-07-01,4207.859
1995-08-01,4318.962
1995-09-01,4711.255
1995-10-01,4625.43
1995-11-01,5110.127
1995-12-01,2505.799
1996-01-01,7350.948
1996-02-01,6063.759
1996-03-01,5154.275
1996-04-01,5739.279
1996-05-01,4842.488
1996-06-01,4494.835
1996-07-01,4723.546
1996-08-01,4777.904
1996-09-01,5586.989
1996-10-01,3889.518
1996-11-01,5557.694
1996-12-01,2581.628
1997-01-01,8239.018
1997-02-01,5936.045
1997-03-01,5789.053
1997-04-01,5707.358
1997-05-01,5122.718
1997-06-01,4981.307
1997-07-01,4685.96
1997-08-01,5088.027
1997-09-01,5311.326
1997-10-01,4900.265
1997-11-01,5600.12
1997-12-01,2531.423
1998-01-01,8874.991
1998-02-01,5811.675
1998-03-01,5994.497
1998-04-01,5730.794
1998-05-01,4872.095
1998-06-01,4881.615
1998-07-01,4618.36
1998-08-01,5259.731
1998-09-01,4982.229
1998-10-01,5436.257
1998-11-01,5240.449
1998-12-01,2773.031
1999-01-01,8546.072
1999-02-01,5933.293
1999-03-01,7326.426
1999-04-01,5796.29
1999-05-01,5382.302
1999-06-01,4923.754
1999-07-01,5398.954
1999-08-01,4874.399
1999-09-01,5271.485
1999-10-01,5475.061
1999-11-01,5177.352
1999-12-01,2813.008
2000-01-01,8671.195
2000-02-01,5798.91
2000-03-01,7010.564
2000-04-01,5979.3
2000-05-01,5402.395
2000-06-01,5515.77
2000-07-01,4898.019
2000-08-01,5359.746
2000-09-01,5456.165
2000-10-01,5690.38
2000-11-01,5998.225
2000-12-01,2466.263
2001-01-01,10250.559
2001-02-01,6866.356
2001-03-01,7934.257
2001-04-01,6726.357
2001-05-01,5681.16
2001-06-01,5091.975
2001-07-01,4543.741
2001-08-01,5140.012
2001-09-01,4012.168
2001-10-01,5124.877
2001-11-01,5465.261
2001-12-01,2178.595
2002-01-01,9228.301
2002-02-01,6105.466
2002-03-01,7834.241
2002-04-01,6616.541
2002-05-01,5688.675
2002-06-01,5671.482
2002-07-01,5498.661
2002-08-01,5410.903
2002-09-01,5491.893
2002-10-01,6236.842
2002-11-01,6960.21
2002-12-01,2597.478
2003-01-01,10052.15
2003-02-01,8751.214
2003-03-01,7444.464
2003-04-01,6860.018
2003-05-01,6264.275
2003-06-01,5417.893
2003-07-01,5905.09
2003-08-01,5083.159
2003-09-01,5414.681
2003-10-01,6267.189
2003-11-01,5893.308
2003-12-01,2703.744
2004-01-01,9643.237
2004-02-01,7002.518
2004-03-01,7170.855
2004-04-01,7509.824
2004-05-01,5592.637
2004-06-01,8078.138
2004-07-01,5215.869
2004-08-01,5453.427
2004-09-01,6262.654
2004-10-01,5729.368
2004-11-01,6266.233
2004-12-01,2699.97
2005-01-01,9981.235
2005-02-01,6753.898
2005-03-01,8189.296
2005-04-01,7173.647
2005-05-01,6639.428
2005-06-01,6256.069
2005-07-01,5708.586
2005-08-01,5959.551
2005-09-01,5374.118
2005-10-01,6232.564
2005-11-01,6321.115
2005-12-01,2777.257
2006-01-01,4675.249
2006-02-01,12127.704
2006-03-01,9117.044
2006-04-01,6808.08
2006-05-01,5886.883
2006-06-01,5844.537
2006-07-01,5841.176
2006-08-01,6125.177
2006-09-01,6279.152
2006-10-01,6350.724
2006-11-01,7502.328
2006-12-01,2687.552
2007-01-01,11422.564
2007-02-01,8876.044
2007-03-01,9244.803
2007-04-01,7983.228
2007-05-01,7139.315
2007-06-01,6118.319
2007-07-01,5928.765
2007-08-01,6314.974
2007-09-01,6358.182
2007-10-01,7084.237
2007-11-01,7296.543
2007-12-01,7017.706
2008-01-01,7078.138
2008-02-01,3051.155
2008-03-01,13522.323
2008-04-01,7907.891
2008-05-01,7009.076
2008-06-01,6084.691
2008-07-01,6078.298
2008-08-01,6793.093
2008-09-01,6270.574
2008-10-01,6980.201
2008-11-01,1197.258
2008-12-01,12868.603
2009-01-01,6726.872
2009-02-01,1470.564
2009-03-01,16821.862
2009-04-01,8150.561
2009-05-01,7472.706
2009-06-01,6361.079
2009-07-01,6390.896
2009-08-01,6937.8
2009-09-01,6149.972
2009-10-01,6981.526
2009-11-01,9281.131
2009-12-01,1342.079
2010-01-01,15514.53
2010-02-01,1271.106
2010-03-01,17696.055
2010-04-01,8109.697
2010-05-01,7190.776
2010-06-01,6544.75
2010-07-01,6343.478
2010-08-01,6447.743
2010-09-01,6664.214
2010-10-01,6875.41
2010-11-01,7649.38
2010-12-01,7722.689
2011-01-01,8071.224
2011-02-01,9540.623
2011-03-01,8358.731
2011-04-01,8387.902
2011-05-01,8722.804
2011-06-01,5423.623
2011-07-01,6558.085
2011-08-01,6872.043
2011-09-01,6815.442
2011-10-01,7684.566
2011-11-01,7608.934
2011-12-01,8362.461
2012-01-01,8117.263
2012-02-01,9373.967
2012-03-01,10783.504
2012-04-01,8781.543
2012-05-01,7827.31
2012-06-01,7101.801
2012-07-01,7113.536
2012-08-01,6947.437
2012-09-01,7081.137
2012-10-01,-4805.248
2012-11-01,9048.54
2012-12-01,9929.968
2013-01-01,8453.171
2013-02-01,9652.276
2013-03-01,9467.112
2013-04-01,9120.282
2013-05-01,8248.547
2013-06-01,7510.425
2013-07-01,7116.245
2013-08-01,7175.645
2013-09-01,7036.52
2013-10-01,7990.841
2013-11-01,8537.227
2013-12-01,9706.422
2014-01-01,8863.618
2014-02-01,11882.761
2014-03-01,10308.986
2014-04-01,10142.92
2014-05-01,8862.538
2014-06-01,7981.72
2014-07-01,7602.538
2014-08-01,7878.798
2014-09-01,8143.37
2014-10-01,8498.483
2014-11-01,10196.103
2014-12-01,10651.087
2015-01-01,9939.029
2015-02-01,11310.422
2015-03-01,10604.575
2015-04-01,9513.848
2015-05-01,8328.156
2015-06-01,8045.639
2015-07-01,7281.497
2015-08-01,8297.233
2015-09-01,8181.451
2015-10-01,8127.321
2015-11-01,8990.64
2015-12-01,8941.54
2016-01-01,8687.607
2016-02-01,10899.764
2016-03-01,10506.253
2016-04-01,11475.891
2016-05-01,8392.759
2016-06-01,7570.058
2016-07-01,7266.675
2016-08-01,7444.006
2016-09-01,7794.323
2016-10-01,7884.725
2016-11-01,8926.942
2016-12-01,8796.597
2017-01-01,9481.776
2017-02-01,10220.644
2017-03-01,11406.463
2017-04-01,9324.444
2017-05-01,8147.587
